,subtitles,links
0,Pep's side continue to chase Gunners as they take on Toon,https://www.thesun.co.uk/sport/21531904/man-city-vs-newcastle-live-stream-tv-channel-team-news-kick-off-time-premier-league/
1,Mason Greenwood's England future revealed after rejecting country switch,https://www.thesun.co.uk/sport/21587479/mason-greenwood-never-again-selected-england-gareth-southgate/
2,Achraf Hakimi alleges he's victim of 'racketeering' plot over rape claims,https://www.thesun.co.uk/sport/21590150/achraf-hakimi-denies-rape-accusation-victim-attempted-racketeering/
3,Arsenal injury blow before Bournemouth clash with ace not seen at training,https://www.thesun.co.uk/sport/21590216/arsenal-injury-blow-bournemouth-nketiah-not-training-arteta/
4,Man City vs Newcastle: Bet £5 on the Premier League & Get £20 bonus with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
5,Man City vs Newcastle bonus: Get money back as CASH if you lose and 102-1 tips,https://www.thesun.co.uk/sport/21569200/man-city-newcastle-bonus-tips-preview-prediction/
6,Spurs board fume at FA Cup exit with Kane benched as Levy expected trophy push,https://www.thesun.co.uk/sport/21588835/tottenham-fa-cup-exit-board-angry-kane/
7,Parker admits he could be sacked as Club Brugge boss after loss to Oostende,https://www.thesun.co.uk/sport/21590206/scott-parker-club-brugge-could-be-sacked/
8,Fans say the same thing as Mount dances in TikTok vid at training,https://www.thesun.co.uk/sport/21589991/fans-mason-mount-dances-tiktok-vid-chelsea/
9,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
10,I'm ex-Prem boss who fought off hungry WOLVES thanks to life-saving tip,https://www.thesun.co.uk/sport/football/21541327/premier-league-manager-attacked-savage-wolves/
11,Huge cost to Brentford of Toney’s impending ban for betting breaches revealed,https://www.thesun.co.uk/sport/21589964/ivan-toney-betting-breaches-ban-cost-brentford/
12,Arsenal and Chelsea rocked as Caicedo signs new four-year Brighton contract,https://www.thesun.co.uk/sport/21586890/moises-caicedo-arsenal-chelsea-brighton-contract/
13,Spurs still asking council for permission to host sold-out Beyonce gig,https://www.thesun.co.uk/sport/21590325/spurs-beyonce-sold-out-concert-stadium-council-permission/
14,Best no-deposit bonuses: Top no-deposit casinos for 2023,https://www.thesun.co.uk/betting/21007381/best-no-deposit-casino-bonuses/
15,Inside Man Utd star Martinez's ritual credited with winning World Cup,https://www.thesun.co.uk/sport/21588580/lisandro-martinez-superstitious-ritual-world-cup-argentina/
16,Arsenal star Gabriel Magalhaes teases ‘new job’ in subtle dig at boss,https://www.thesun.co.uk/sport/21584267/arsenal-news-gabriel-magalhaes-brazil-morocco/
17,"Win a Lamborghini plus £5,000 or £100k cash alternative from 89p",https://www.thesun.co.uk/sport/betting-tips/18918779/win-car-competition-7dp/
18,Best casino welcome bonuses - UK casino offers for 2023,https://www.thesun.co.uk/betting/21097803/casino-welcome-bonus/
19,Online casino sign up offers: The best bonus casino deals for February 2023,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-bonus-offers-sign-up-deals-no-deposit/
20,Best mobile casino in the UK: Top mobile sites for March 2023,https://www.thesun.co.uk/betting/21136334/best-mobile-casino-in-the-uk/
