,titles,subtitles,links
0,LEAD GER WAY,"Southgate tells England to emulate GERMANY, eyes three World Cups in 40 years",https://www.thesun.co.uk/sport/20490119/gareth-southgate-england-germany-world-cup/
1,NO BACKING DOWN,FA chiefs fear Kane could have rainbow armband PHYSICALLY REMOVED amid row,https://www.thesun.co.uk/sport/20489462/harry-kane-rainbow-armband-fifa-england-world-cup/
2,TONY ADAMS,"I'd make Rice captain, Kane's a top player but armband makes it hard to sub him",https://www.thesun.co.uk/sport/20489264/tony-adams-world-cup-kane-rice-england-captain/
3,TOP OFFER,World Cup sign-up offer: Get £66 in FREE BETS when staking £19 with Bet UK,https://www.thesun.co.uk/sport/20468877/world-cup-sign-up-offer-free-bets-bet-uk/
4,TAKE YOUR PICK,Dream Team World Cup player prices finalised - check your XI now!,https://www.thesun.co.uk/sport/football/dream-team/20438298/world-cup-fantasy-football-player-prices-complete-squads/
5,LIONS OF ARABIA,Harry Kane to end 56 years of hurt as Three Lions play Iran in Qatar,https://www.thesun.co.uk/sport/20489666/harry-kane-world-cup-england-iran-qatar/
6,JACK WILSHERE,"Saka to step up if England have another shootout, the Euros won't bother him",https://www.thesun.co.uk/sport/20489609/jack-wilshere-bukayo-saka-england-penalty/
7,DAVE KIDD,"Southgate's critics forget the past, fans should be careful what they wish for",https://www.thesun.co.uk/sport/20489611/gareth-southgate-critics-fans-world-cup-england-iran/
8,HUGE DEAL,Get £20 in free bets to use on the World Cup with Sporting Index,https://www.thesun.co.uk/sport/betting-tips/19796308/claim-20-free-bets-sporting-index/
9,HERE WE GO,"World Cup preview - Day 2: England vs Iran tips, prediction, bonus and free bets",https://www.thesun.co.uk/sport/20473231/world-cup-preview-tips-free-bets-prediction-england-iran/
10,WISH YOU WERE BEER,Ecuador fans in brilliant chant about Qatar beer ban in World Cup opener,https://www.thesun.co.uk/sport/20488308/ecuador-world-cup-beer-chant-qatar/
11,QAT-ASTROPHE,Thousands of Qatar fans leave at HALF TIME as empty seats seen during opener,https://www.thesun.co.uk/sport/20488703/qatar-fans-empty-seats-world-cup-ecuador/
12,BECK SHRED,"Joe Lycett 'shreds' £10,000 in protest at Beckham’s £10m deal with Qatar",https://www.thesun.co.uk/sport/20490815/joe-lycett-shreds-10000-beckhams-deal-qatar/
13,QATAR 0 ECUADOR 2,Hosts downed by Valencia double as horror first half silences stadium,https://www.thesun.co.uk/sport/20488245/qatar-ecuador-report-enner-valencia-world-cup/
14,LIONS TO ROAR,Southgate's England get World Cup campaign under way against Group B Iran,https://www.thesun.co.uk/sport/20472156/england-iran-world-cup-preview/
15,GAME ON,Giants collide in Group A as highly-fancied Holland face African champions Senegal,https://www.thesun.co.uk/sport/20474665/senegal-holland-world-cup-group-a-teams-prediction/
16,FIRESTARTER,Wales return to World Cup action after 64 years in key clash against USA,https://www.thesun.co.uk/sport/20473334/usa-wales-world-cup-preview/
17,ELITE OFFER,Bet £10 on Golden Boot market & get £1 free bet for every goal & shot on target,https://www.thesun.co.uk/sport/20424552/paddy-power-free-bets-world-cup-bonus-golden-boot/
18,TAKING A STAND,Kane vows to wear One Love armband in World Cup despite threat of BOOKING,https://www.thesun.co.uk/sport/20487476/harry-kane-armband-one-love-fifa/
19,'STRONG STATEMENT',Southgate says England WILL take knee vs Iran after chat with his squad,https://www.thesun.co.uk/sport/20488528/england-take-knee-iran-world-cup-southgate/
20,SAND & DELIVER,Gareth Southgate vows to get England smiling again with World Cup battle cry,https://www.thesun.co.uk/sport/20489795/gareth-southgate-england-world-cup-qatar-battle-cry/
21,MISSION POSSIBLE,Southgate claims England will challenge for trophies for EIGHT YEARS,https://www.thesun.co.uk/sport/20490005/gareth-southgate-england-world-cup-squad/
22,TREBLE TOP,"England in World Cup omen as Rice, Shaw & Mount ALL score 66 in Darts Challenge",https://www.thesun.co.uk/sport/20490189/england-world-cup-omen-rice-shaw-mount/
23,DUTCH COURAGE,Holland can break World Cup jinx with mastermind Louis Van Gaal in charge,https://www.thesun.co.uk/sport/20308451/netherlands-world-cup-virgil-van-dijk-line-ups-stats/
24,MANE DOWN,"Senegal's dreams dented with Mane's injury, but can they cope without star man?",https://www.thesun.co.uk/sport/20422581/senegal-tactics-world-cup-predicted-line-up-stats/
25,WHAT THE EC?,How Ecuador can spring surprise at the World Cup thanks to Premier League star,https://www.thesun.co.uk/sport/20331752/ecuador-tactics-world-cup-predicted-line-up-stats/
26,TOP QAT,Hosts Qatar will win plaudits by gaining just a single point in their group,https://www.thesun.co.uk/sport/20423003/qatar-tactics-world-cup-predicted-line-up-stats/
27,SOUNDS BAD,Fans all say same thing about dodgy sound on BBC's coverage of World Cup,https://www.thesun.co.uk/sport/20487415/bbc-coverage-sound-world-cup-opening-ceremony/
28,LIONS IN WAITING,England will hope to go one better than the Euros with leader Kane crucial,https://www.thesun.co.uk/sport/20351322/england-tactics-world-cup-predicted-line-up-stats/
29,HOUSE OF DRAGONS,Wales legends Bale & Ramsey will have to stay fit for a good World Cup run,https://www.thesun.co.uk/sport/20366622/wales-tactics-world-cup-predicted-line-up-stats/
30,AMERICA DREAMS,The USA's World Cup hopes rely on Pulisic and Adams and could spring a shock,https://www.thesun.co.uk/sport/20413177/usa-world-cup-predicted-line-up-tactics/
31,GULF IN CLASS,Iran will give England tough test under World Cup veteran Carlos Queiroz,https://www.thesun.co.uk/sport/20413471/iran-tactics-world-cup-predicted-line-up-stats/
32,FOOTBALL FURY,World Cup fans rage as BBC SNUB entire Qatar opening ceremony,https://www.thesun.co.uk/sport/20487144/world-cup-opening-ceremony-qatar-bbc/
33,UP FOR GRABS,"Play our World Cup score predictor for a chance to win £5,000",https://www.thesun.co.uk/sport/football/20421373/world-cup-score-predictor-qatar/
34,FINAL BOW,Will Messi's World Cup swansong for Argentina land him his first winners' medal?,https://www.thesun.co.uk/sport/20360296/argentina-tactics-world-cup-predicted-line-up-stats/
35,MEX IT UP,Jimenez and Lozano can finally break Mexico's last-16 World Cup curse in Qatar,https://www.thesun.co.uk/sport/20365963/mexico-tactics-world-cup-predicted-line-up-stats/
36,POLE POSITION,Poland will need more than just Lewandowski if they are to make their mark,https://www.thesun.co.uk/sport/20331690/poland-tactics-world-cup-predicted-line-up-stats/
37,ARABIAN DELIGHTS,Saudi Arabia out to surprise the world by making it to last 16 in Qatar,https://www.thesun.co.uk/sport/20437223/saudi-arabia-tactics-world-cup-predicted-line-up-stats/
38,CAN'T BEER STOPPED,Fans share tips on how to smuggle beer into World Cup after booze ban,https://www.thesun.co.uk/sport/20486761/fans-beer-world-cup-qatar-booze/
39,QATAR QUERY,"Qatar announce 67,000 fans at World Cup opener despite capacity of only 60,000",https://www.thesun.co.uk/sport/20489180/qatar-world-cup-announce-67000-fan-attendance-stadium-60000/
40,CUP FIRST,Female referees to make history by officiating at men’s World Cup for first time,https://www.thesun.co.uk/sport/20490597/female-referees-officiating-world-cup-first-time/
41,TORRIFYING,Enrique jokes he'll pick Spain ace at World Cup 'or daughter will chop head off’,https://www.thesun.co.uk/sport/20488783/spain-world-cup-enrique-jokes-daughter-chop-head-torres/
